web-scraper-order,web-scraper-start-url,link,link-href,url,ad_brand,date
1692263024-1,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/15740056848058977434,Bundl Technologies Pvt. Ltd.,
1692263024-2,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/12396136639621141809,Bundl Technologies Pvt. Ltd.,
1692263024-3,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/7855161404518650187,Bundl Technologies Pvt. Ltd.,
1692263024-4,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/6066353180548655646,Bundl Technologies Pvt. Ltd.,
1692263024-5,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/14811929984388876175,Bundl Technologies Pvt. Ltd.,
1692263024-6,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/18187494726929870161,Bundl Technologies Pvt. Ltd.,
1692263024-7,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/11340333537845301473,Bundl Technologies Pvt. Ltd.,
1692263024-8,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/13671343063720096333,Bundl Technologies Pvt. Ltd.,
1692263024-9,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/777041233297251619,Bundl Technologies Pvt. Ltd.,
1692263024-10,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/8646321053907785999,Bundl Technologies Pvt. Ltd.,
1692263024-11,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/4239803772662194104,Bundl Technologies Pvt. Ltd.,
1692263024-12,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/13248392819827627723,Bundl Technologies Pvt. Ltd.,
1692263024-13,https://adstransparency.google.com/?region=IN&format=IMAGE&domain=swiggy.com,Bundl Technologies Pvt. Ltd.,https://adstransparency.google.com/advertiser/AR04872672420588158977?region=IN&format=IMAGE,https://tpc.googlesyndication.com/archive/simgad/7527728570624679734,Bundl Technologies Pvt. Ltd.,
