web-scraper-order,web-scraper-start-url,total_ads,ad_id,ad_start_date,ad_status,ad_count,ad_text,ad_cta_text,ad_video,ad_image-src,ad_brandname,ad_cta_domain,ad_cta_title,ad_cta_subtitle,domain_name
1692257598-43,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,7.84E+14,13-Jun-23,Active,2.0,,,,https://scontent.fblr2-2.fna.fbcdn.net/v/t39.35426-6/353680940_1012809563042579_8692934525437398551_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=wtFYiBFR9IoAX-xSPoF&_nc_ht=scontent.fblr2-2.fna&oh=00_AfBIBcXwFQQAtqJSzQkAVs1etcs5XLbF3jVrLSmnjvdEng&oe=64E1FBD1,nopeetstore.com,,,,nopeetstore.com
1692257598-44,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,2.09E+14,13-Jun-23,Active,2.0,Get-Laid,Shop Now,,https://scontent.fblr2-2.fna.fbcdn.net/v/t39.35426-6/353836743_217900194509098_2356166276600820248_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=GWkUmYfpq6EAX9N2i2A&_nc_ht=scontent.fblr2-2.fna&oh=00_AfC3unHMKN50pHjvUQId6E9-lJazwU2kyh8l3sLEA3ZE6Q&oe=64E30753,nopeetstore.com,NOPEETSTORE.COM,Ben Dover Orange,Get-Laid,nopeetstore.com
1692257598-45,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,2.18E+14,13-Jun-23,Active,2.0,,,,https://scontent.fblr2-1.fna.fbcdn.net/v/t39.35426-6/354033276_23968295442769704_3022426784895386877_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=eXnRf0JDHfgAX_hbOlk&_nc_ht=scontent.fblr2-1.fna&oh=00_AfAocuSb2blNJM5_Rz3EgZs2cBfkyLOuifTOLdM7g5spqw&oe=64E3741B,nopeetstore.com,,,,nopeetstore.com
1692257598-46,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,2.15E+14,13-Jun-23,Active,2.0,,,,https://scontent.fblr2-1.fna.fbcdn.net/v/t39.35426-6/353459140_258865133497586_6933215101157956334_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=LNDGATclVVMAX9mPriE&_nc_ht=scontent.fblr2-1.fna&oh=00_AfDvgsI2VhLlMEKekuXcqpvjAe6dVpcYIY2H2GTkmyDEfw&oe=64E29690,nopeetstore.com,,,,nopeetstore.com
1692257598-47,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,7.82E+14,13-Jun-23,Active,2.0,,,,https://scontent.fblr2-2.fna.fbcdn.net/v/t39.35426-6/352055069_3057699541206620_4209318999410910119_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=6NnP-nK87XYAX9-PTj6&_nc_oc=AQnT1J3-HjZB50xQ6qJJjh-PhOCUPFhZm_FeUmNyIJ4Yb3mlwbS2-tBeuPO7tPMEN9w&_nc_ht=scontent.fblr2-2.fna&oh=00_AfAFZS1gKg-E2C4aWia67ok7AO-iKouXPT_iM7pgrwlFnA&oe=64E2F479,nopeetstore.com,,,,nopeetstore.com
1692257598-48,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,6.13E+14,13-Jun-23,Active,2.0,Get-Laid,Shop Now,,https://scontent.fblr2-1.fna.fbcdn.net/v/t39.35426-6/353761324_2295090187351602_1632700084878764325_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=GRFihQzVvFIAX-eIXTq&_nc_ht=scontent.fblr2-1.fna&oh=00_AfD2_xFWKvYcqyPsEEnRcJIWMS3rG7mTZcjZBvvyQy5Xpw&oe=64E3B1DC,nopeetstore.com,NOPEETSTORE.COM,Ben Dover Orange,Get-Laid,nopeetstore.com
1692257598-49,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,8.08E+14,13-Jun-23,Active,2.0,Performance,Shop Now,,https://scontent.fblr2-2.fna.fbcdn.net/v/t39.35426-6/353397204_553187823465038_3262156105088193842_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=B82_TCBQlzgAX8t7XsU&_nc_ht=scontent.fblr2-2.fna&oh=00_AfDUCLTXGfFFJB20vN25ULpCxS-8QIU9b6GFE2KlGxqzyw&oe=64E3A9C7,nopeetstore.com,NOPEETSTORE.COM,Da Black,Performance,nopeetstore.com
1692257598-50,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,1.74E+15,02-Mar-23,Active,,Performance,Shop Now,,https://scontent.fblr2-2.fna.fbcdn.net/v/t39.35426-6/334718940_218678497390833_2782077270248138518_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=yXjeaVRtw6MAX93bMaP&_nc_ht=scontent.fblr2-2.fna&oh=00_AfDas75fbnZjWQOpu3kELpYMHsrMs4BtPKRHbtQd_pO7kg&oe=64E2F2F4,nopeetstore.com,NOPEETSTORE.COM,Originals From Da Dark Side,Performance,nopeetstore.com
1692257598-51,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,5.93E+14,02-Mar-23,Active,,Performance,Shop Now,,https://scontent.fblr2-1.fna.fbcdn.net/v/t39.35426-6/334279221_179261304844363_8301130492954098245_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=st0dqkX_NE4AX9efsqI&_nc_ht=scontent.fblr2-1.fna&oh=00_AfBwHtu7WbLljQX_hcpOvW42LPZMDRrt6mkq2JBbBCJUHw&oe=64E27421,nopeetstore.com,NOPEETSTORE.COM,Originals From Da Dark Side,Performance,nopeetstore.com
1692257598-52,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,1.18E+15,11-Feb-23,Active,,Space Age,Shop Now,,https://scontent.fblr2-1.fna.fbcdn.net/v/t39.35426-6/327233359_486001010178541_4122285608875630433_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=l4RwpWmYzJQAX81tIKh&_nc_ht=scontent.fblr2-1.fna&oh=00_AfB8HKRrw6GQ260oUUHIuAl2eKKIt9XJg2Bs-Dbi31YtVQ&oe=64E1CA45,nopeetstore.com,NOPEETSTORE.COM,APOCALYPSE,Space Age,nopeetstore.com
