web-scraper-order,web-scraper-start-url,total_ads,ad_id,ad_start_date,ad_status,ad_count,ad_text,ad_cta_text,ad_video,ad_image-src,ad_brandname,ad_cta_domain,ad_cta_title,ad_cta_subtitle,domain_name
1692257598-58,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22nopeetstore.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~25 results,9.65E+14,21-Nov-22,Inactive,100.0,,Learn more,https://video.fblr2-2.fna.fbcdn.net/v/t42.1790-2/315864569_648335870106053_5169121489851301919_n.mp4?_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=_rIATS2epjEAX_FXcmJ&_nc_ht=video.fblr2-2.fna&oh=00_AfAQWOD9cvn2QSyMPtQMkgtu4qVkLb9Gkeb--oh1rhpJVA&oe=64E2155B,,nopeetstore.com,FB.COM,nopeet®,,nopeetstore.com
1692259803-151,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22veles.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~2 results,4.72E+14,21-Mar-20,Inactive,450.0,,Learn more,https://video.fblr2-2.fna.fbcdn.net/v/t42.1790-2/90492942_653430535230044_197304395002606225_n.mp4?_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Aa0A6zhJVqAAX8oDyGt&_nc_ht=video.fblr2-2.fna&oh=00_AfCAFBOKGE1qYua_3Ndocr4PWYPPH4bgSW5SCw6K_66DfA&oe=64E35566,,Veles Co.,VELES.COM,Veles Co.,,veles.com
1692264507-505,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22drinksoma.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~11 results,3.49E+14,27-Apr-22,Active,3.0,"Explore our collection of customizable water bottles, brew bottles, and ceramic mugs fit for your brand.",Shop Now,https://video.fblr2-1.fna.fbcdn.net/v/t42.1790-2/279356501_1129185017938662_1155505683364859040_n.?_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Fh5UJ-HecskAX_fnasI&_nc_oc=AQkOhpAPc76b8m9eLy67zD83vgwCZMSGT9VFd3yW7nd_A0cYLfNpjm8XCkofHwsbwhc&_nc_ht=video.fblr2-1.fna&oh=00_AfC9wP-gZ3FFaSiEAlhAnsDbYg_yvYaKu9QxkfrwbLsgYA&oe=64E25366,,Soma Water,DRINKSOMA.COM,Sustainable Custom Gifts,Many customizations available,drinksoma.com
1692269561-119,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22manukora.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~43 results,1.55E+15,13-Aug-23,Active,3.0,Honey with Superpowers™ ⚡,Learn More,https://video.fblr2-2.fna.fbcdn.net/v/t42.1790-2/10000000_1549239912275445_3849599958511721596_n.?_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=aHmH7ZdeEoAAX-p1TYt&_nc_ht=video.fblr2-2.fna&oh=00_AfBuy5ddYKizlqFXt4tiU65gbRJcuAAY7Lzq2GIOrzRxMQ&oe=64E3A991,,Manukora,HTTPS://MANUKORA.COM/,Manukora Manuka Honey,,manukora.com
1692269561-121,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22manukora.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~43 results,2.61E+14,13-Aug-23,Active,,Honey with Superpowers™ ⚡,Shop Now,https://video.fblr2-1.fna.fbcdn.net/v/t42.1790-2/10000000_260659110160951_7881115835729146228_n.?_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ClcCFw-_J8IAX_4Sh5A&_nc_ht=video.fblr2-1.fna&oh=00_AfCnQCVUUe41cCXJGxWTt3W4CHRH345ELomNAAUinETfwQ&oe=64E2B911,,Manukora,HTTPS://MANUKORA.COM/,Manukora Manuka Honey,,manukora.com
1692269561-122,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22manukora.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~43 results,2.04E+15,13-Aug-23,Active,2.0,Honey with Superpowers™ ⚡,Learn More,https://video.fblr2-1.fna.fbcdn.net/v/t42.1790-2/366406544_2042437142771551_2259328606350318580_n.?_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=c86-PDUOTC4AX_rqZTb&_nc_ht=video.fblr2-1.fna&oh=00_AfCC73tKNXQOfGH5XOKhe9wwI55OrttluCykxF78vQwngg&oe=64E2FBC0,,Manukora,HTTPS://MANUKORA.COM/,Manukora Manuka Honey,,manukora.com
1692269561-123,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22manukora.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~43 results,1.99E+14,14-Aug-23,Active,2.0,Honey with Superpowers™ ⚡,Learn More,https://video.fblr2-1.fna.fbcdn.net/v/t42.1790-2/366759955_199245453140849_3568790694046306412_n.?_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=dqVgWASR_90AX_Sd84-&_nc_ht=video.fblr2-1.fna&oh=00_AfD2MbCMqlIhjSIrlC8pbCYagi_JPYysBZfHYl4GAaxQIQ&oe=64E39CD2,,Manukora,HTTPS://MANUKORA.COM/,Manukora Manuka Honey,,manukora.com
1692269561-124,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22manukora.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~43 results,2.20E+14,13-Aug-23,Active,,Honey with Superpowers™ ⚡,Shop Now,https://video.fblr2-2.fna.fbcdn.net/v/t42.1790-2/10000000_220073124364822_7193185802155710166_n.?_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=riRERyry8pEAX-95Scj&_nc_ht=video.fblr2-2.fna&oh=00_AfCEJvitbg0CarwirdEXHCYNwj7Cn6BqlvjDcL7cLjxx4w&oe=64E32C64,,Manukora,HTTPS://MANUKORA.COM/,Manukora Manuka Honey,,manukora.com
1692269561-126,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22manukora.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~43 results,6.43E+14,13-Aug-23,Active,,Honey with Superpowers™ ⚡,Shop Now,https://video.fblr2-1.fna.fbcdn.net/v/t42.1790-2/367369675_642697077989690_6740752385284450124_n.?_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=wqhNVxV6o_cAX9s3M8G&_nc_ht=video.fblr2-1.fna&oh=00_AfBSuTpOQp3xGc_ovwrK4B3vykVFD5y0LH2V7ysuqeMSzA&oe=64E288AB,,Manukora,HTTPS://MANUKORA.COM/,Manukora Manuka Honey,,manukora.com
1692269561-127,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&q=%22manukora.com%22&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=keyword_exact_phrase&media_type=all,~43 results,6.72E+14,01-Aug-23,Active,,Honey with Superpowers™ ⚡,Learn More,https://video.fblr2-2.fna.fbcdn.net/v/t42.1790-2/10000000_671864227683845_5142927791547143888_n.?_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=qFlkZhthtn0AX_NBlbX&_nc_ht=video.fblr2-2.fna&oh=00_AfD5D9S2tbOGfozP-xAgx_uW8sO8pdFeKdBn6VifmfJN5A&oe=64E21370,,Manukora,HTTPS://MANUKORA.COM/,Manukora Manuka Honey,,manukora.com
